Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;Brazil;BRA;2018.0;
Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;China;CHN;2018.0;
Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;India;IND;2018.0;
Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;Russian Federation;RUS;2018.0;
Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;South Africa;ZAF;2018.0;
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;Brazil;BRA;2018.0;
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;China;CHN;2018.0;
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;India;IND;2018.0;
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;Russian Federation;RUS;2018.0;
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;South Africa;ZAF;2018.0;
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;Brazil;BRA;2018.0;
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;China;CHN;2018.0;
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;India;IND;2018.0;
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;Russian Federation;RUS;2018.0;0.216169998049736
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;South Africa;ZAF;2018.0;14.3636302947998
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;Brazil;BRA;2018.0;
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;China;CHN;2018.0;
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;India;IND;2018.0;
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;Russian Federation;RUS;2018.0;
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;South Africa;ZAF;2018.0;13.1786603927612
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;Brazil;BRA;2018.0;
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;China;CHN;2018.0;
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;India;IND;2018.0;
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;Russian Federation;RUS;2018.0;
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;South Africa;ZAF;2018.0;15.531720161438
Agricultural irrigated land (% of total agricultural land);AG.LND.IRIG.AG.ZS;Brazil;BRA;2018.0;
Agricultural irrigated land (% of total agricultural land);AG.LND.IRIG.AG.ZS;China;CHN;2018.0;
Agricultural irrigated land (% of total agricultural land);AG.LND.IRIG.AG.ZS;India;IND;2018.0;
Agricultural irrigated land (% of total agricultural land);AG.LND.IRIG.AG.ZS;Russian Federation;RUS;2018.0;
Agricultural irrigated land (% of total agricultural land);AG.LND.IRIG.AG.ZS;South Africa;ZAF;2018.0;
Agricultural land (% of land area);AG.LND.AGRI.ZS;Brazil;BRA;2018.0;
Agricultural land (% of land area);AG.LND.AGRI.ZS;China;CHN;2018.0;
Agricultural land (% of land area);AG.LND.AGRI.ZS;India;IND;2018.0;
Agricultural land (% of land area);AG.LND.AGRI.ZS;Russian Federation;RUS;2018.0;
Agricultural land (% of land area);AG.LND.AGRI.ZS;South Africa;ZAF;2018.0;
Agricultural land (sq. km);AG.LND.AGRI.K2;Brazil;BRA;2018.0;
Agricultural land (sq. km);AG.LND.AGRI.K2;China;CHN;2018.0;
Agricultural land (sq. km);AG.LND.AGRI.K2;India;IND;2018.0;
Agricultural land (sq. km);AG.LND.AGRI.K2;Russian Federation;RUS;2018.0;
Agricultural land (sq. km);AG.LND.AGRI.K2;South Africa;ZAF;2018.0;
Agricultural machinery, tractors;AG.AGR.TRAC.NO;Brazil;BRA;2018.0;
Agricultural machinery, tractors;AG.AGR.TRAC.NO;China;CHN;2018.0;
Agricultural machinery, tractors;AG.AGR.TRAC.NO;India;IND;2018.0;
Agricultural machinery, tractors;AG.AGR.TRAC.NO;Russian Federation;RUS;2018.0;
Agricultural machinery, tractors;AG.AGR.TRAC.NO;South Africa;ZAF;2018.0;
Agricultural machinery, tractors per 100 sq. km of arable land;AG.LND.TRAC.ZS;Brazil;BRA;2018.0;
Agricultural machinery, tractors per 100 sq. km of arable land;AG.LND.TRAC.ZS;China;CHN;2018.0;
Agricultural machinery, tractors per 100 sq. km of arable land;AG.LND.TRAC.ZS;India;IND;2018.0;
Agricultural machinery, tractors per 100 sq. km of arable land;AG.LND.TRAC.ZS;Russian Federation;RUS;2018.0;
Agricultural machinery, tractors per 100 sq. km of arable land;AG.LND.TRAC.ZS;South Africa;ZAF;2018.0;
Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;Brazil;BRA;2018.0;
Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;China;CHN;2018.0;
Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;India;IND;2018.0;
Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;Russian Federation;RUS;2018.0;
Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;South Africa;ZAF;2018.0;
Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;Brazil;BRA;2018.0;
Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;China;CHN;2018.0;
Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;India;IND;2018.0;
Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;Russian Federation;RUS;2018.0;
Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;South Africa;ZAF;2018.0;
Agricultural nitrous oxide emissions (% of total);EN.ATM.NOXE.AG.ZS;Brazil;BRA;2018.0;
Agricultural nitrous oxide emissions (% of total);EN.ATM.NOXE.AG.ZS;China;CHN;2018.0;
Agricultural nitrous oxide emissions (% of total);EN.ATM.NOXE.AG.ZS;India;IND;2018.0;
Agricultural nitrous oxide emissions (% of total);EN.ATM.NOXE.AG.ZS;Russian Federation;RUS;2018.0;
Agricultural nitrous oxide emissions (% of total);EN.ATM.NOXE.AG.ZS;South Africa;ZAF;2018.0;
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.AG.KT.CE;Brazil;BRA;2018.0;
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.AG.KT.CE;China;CHN;2018.0;
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.AG.KT.CE;India;IND;2018.0;
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.AG.KT.CE;Russian Federation;RUS;2018.0;
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.AG.KT.CE;South Africa;ZAF;2018.0;
Alternative and nuclear energy (% of total energy use);EG.USE.COMM.CL.ZS;Brazil;BRA;2018.0;
Alternative and nuclear energy (% of total energy use);EG.USE.COMM.CL.ZS;China;CHN;2018.0;
Alternative and nuclear energy (% of total energy use);EG.USE.COMM.CL.ZS;India;IND;2018.0;
Alternative and nuclear energy (% of total energy use);EG.USE.COMM.CL.ZS;Russian Federation;RUS;2018.0;
Alternative and nuclear energy (% of total energy use);EG.USE.COMM.CL.ZS;South Africa;ZAF;2018.0;
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);ER.H2O.FWAG.ZS;Brazil;BRA;2018.0;
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);ER.H2O.FWAG.ZS;China;CHN;2018.0;
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);ER.H2O.FWAG.ZS;India;IND;2018.0;
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);ER.H2O.FWAG.ZS;Russian Federation;RUS;2018.0;
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);ER.H2O.FWAG.ZS;South Africa;ZAF;2018.0;
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);ER.H2O.FWDM.ZS;Brazil;BRA;2018.0;
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);ER.H2O.FWDM.ZS;China;CHN;2018.0;
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);ER.H2O.FWDM.ZS;India;IND;2018.0;
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);ER.H2O.FWDM.ZS;Russian Federation;RUS;2018.0;
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);ER.H2O.FWDM.ZS;South Africa;ZAF;2018.0;
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);ER.H2O.FWIN.ZS;Brazil;BRA;2018.0;
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);ER.H2O.FWIN.ZS;China;CHN;2018.0;
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);ER.H2O.FWIN.ZS;India;IND;2018.0;
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);ER.H2O.FWIN.ZS;Russian Federation;RUS;2018.0;
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);ER.H2O.FWIN.ZS;South Africa;ZAF;2018.0;
Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;Brazil;BRA;2018.0;
Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;China;CHN;2018.0;
Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;India;IND;2018.0;
Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;Russian Federation;RUS;2018.0;
Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;South Africa;ZAF;2018.0;
Annual freshwater withdrawals, total (billion cubic meters);ER.H2O.FWTL.K3;Brazil;BRA;2018.0;
Annual freshwater withdrawals, total (billion cubic meters);ER.H2O.FWTL.K3;China;CHN;2018.0;
Annual freshwater withdrawals, total (billion cubic meters);ER.H2O.FWTL.K3;India;IND;2018.0;
Annual freshwater withdrawals, total (billion cubic meters);ER.H2O.FWTL.K3;Russian Federation;RUS;2018.0;
Annual freshwater withdrawals, total (billion cubic meters);ER.H2O.FWTL.K3;South Africa;ZAF;2018.0;
Aquaculture production (metric tons);ER.FSH.AQUA.MT;Brazil;BRA;2018.0;
Aquaculture production (metric tons);ER.FSH.AQUA.MT;China;CHN;2018.0;
Aquaculture production (metric tons);ER.FSH.AQUA.MT;India;IND;2018.0;
Aquaculture production (metric tons);ER.FSH.AQUA.MT;Russian Federation;RUS;2018.0;
Aquaculture production (metric tons);ER.FSH.AQUA.MT;South Africa;ZAF;2018.0;
Arable land (% of land area);AG.LND.ARBL.ZS;Brazil;BRA;2018.0;
Arable land (% of land area);AG.LND.ARBL.ZS;China;CHN;2018.0;
Arable land (% of land area);AG.LND.ARBL.ZS;India;IND;2018.0;
Arable land (% of land area);AG.LND.ARBL.ZS;Russian Federation;RUS;2018.0;
Arable land (% of land area);AG.LND.ARBL.ZS;South Africa;ZAF;2018.0;
Arable land (hectares per person);AG.LND.ARBL.HA.PC;Brazil;BRA;2018.0;
Arable land (hectares per person);AG.LND.ARBL.HA.PC;China;CHN;2018.0;
Arable land (hectares per person);AG.LND.ARBL.HA.PC;India;IND;2018.0;
Arable land (hectares per person);AG.LND.ARBL.HA.PC;Russian Federation;RUS;2018.0;
Arable land (hectares per person);AG.LND.ARBL.HA.PC;South Africa;ZAF;2018.0;
Arable land (hectares);AG.LND.ARBL.HA;Brazil;BRA;2018.0;
Arable land (hectares);AG.LND.ARBL.HA;China;CHN;2018.0;
Arable land (hectares);AG.LND.ARBL.HA;India;IND;2018.0;
Arable land (hectares);AG.LND.ARBL.HA;Russian Federation;RUS;2018.0;
Arable land (hectares);AG.LND.ARBL.HA;South Africa;ZAF;2018.0;
Average precipitation in depth (mm per year);AG.LND.PRCP.MM;Brazil;BRA;2018.0;
Average precipitation in depth (mm per year);AG.LND.PRCP.MM;China;CHN;2018.0;
Average precipitation in depth (mm per year);AG.LND.PRCP.MM;India;IND;2018.0;
Average precipitation in depth (mm per year);AG.LND.PRCP.MM;Russian Federation;RUS;2018.0;
Average precipitation in depth (mm per year);AG.LND.PRCP.MM;South Africa;ZAF;2018.0;
Bird species, threatened;EN.BIR.THRD.NO;Brazil;BRA;2018.0;175.0
Bird species, threatened;EN.BIR.THRD.NO;China;CHN;2018.0;96.0
Bird species, threatened;EN.BIR.THRD.NO;India;IND;2018.0;93.0
Bird species, threatened;EN.BIR.THRD.NO;Russian Federation;RUS;2018.0;57.0
Bird species, threatened;EN.BIR.THRD.NO;South Africa;ZAF;2018.0;54.0
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;Brazil;BRA;2018.0;
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;China;CHN;2018.0;
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;India;IND;2018.0;
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;Russian Federation;RUS;2018.0;
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;South Africa;ZAF;2018.0;
Cereal production (metric tons);AG.PRD.CREL.MT;Brazil;BRA;2018.0;
Cereal production (metric tons);AG.PRD.CREL.MT;China;CHN;2018.0;
Cereal production (metric tons);AG.PRD.CREL.MT;India;IND;2018.0;
Cereal production (metric tons);AG.PRD.CREL.MT;Russian Federation;RUS;2018.0;
Cereal production (metric tons);AG.PRD.CREL.MT;South Africa;ZAF;2018.0;
Cereal yield (kg per hectare);AG.YLD.CREL.KG;Brazil;BRA;2018.0;
Cereal yield (kg per hectare);AG.YLD.CREL.KG;China;CHN;2018.0;
Cereal yield (kg per hectare);AG.YLD.CREL.KG;India;IND;2018.0;
Cereal yield (kg per hectare);AG.YLD.CREL.KG;Russian Federation;RUS;2018.0;
Cereal yield (kg per hectare);AG.YLD.CREL.KG;South Africa;ZAF;2018.0;
Children out of school (% of primary school age);SE.PRM.UNER.ZS;Brazil;BRA;2018.0;
Children out of school (% of primary school age);SE.PRM.UNER.ZS;China;CHN;2018.0;
Children out of school (% of primary school age);SE.PRM.UNER.ZS;India;IND;2018.0;
Children out of school (% of primary school age);SE.PRM.UNER.ZS;Russian Federation;RUS;2018.0;0.163770005106926
Children out of school (% of primary school age);SE.PRM.UNER.ZS;South Africa;ZAF;2018.0;11.007960319519
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;Brazil;BRA;2018.0;
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;China;CHN;2018.0;
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;India;IND;2018.0;
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;Russian Federation;RUS;2018.0;
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;South Africa;ZAF;2018.0;10.1693696975708
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;Brazil;BRA;2018.0;
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;China;CHN;2018.0;
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;India;IND;2018.0;
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;Russian Federation;RUS;2018.0;
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;South Africa;ZAF;2018.0;11.8295297622681
Children out of school, primary;SE.PRM.UNER;Brazil;BRA;2018.0;
Children out of school, primary;SE.PRM.UNER;China;CHN;2018.0;
Children out of school, primary;SE.PRM.UNER;India;IND;2018.0;
Children out of school, primary;SE.PRM.UNER;Russian Federation;RUS;2018.0;10839.0
Children out of school, primary;SE.PRM.UNER;South Africa;ZAF;2018.0;845478.0
Children out of school, primary, female;SE.PRM.UNER.FE;Brazil;BRA;2018.0;
Children out of school, primary, female;SE.PRM.UNER.FE;China;CHN;2018.0;
Children out of school, primary, female;SE.PRM.UNER.FE;India;IND;2018.0;
Children out of school, primary, female;SE.PRM.UNER.FE;Russian Federation;RUS;2018.0;
Children out of school, primary, female;SE.PRM.UNER.FE;South Africa;ZAF;2018.0;386532.0
Children out of school, primary, male;SE.PRM.UNER.MA;Brazil;BRA;2018.0;
Children out of school, primary, male;SE.PRM.UNER.MA;China;CHN;2018.0;
Children out of school, primary, male;SE.PRM.UNER.MA;India;IND;2018.0;
Children out of school, primary, male;SE.PRM.UNER.MA;Russian Federation;RUS;2018.0;
Children out of school, primary, male;SE.PRM.UNER.MA;South Africa;ZAF;2018.0;458946.0
CO2 emissions (kg per 2010 US$ of GDP);EN.ATM.CO2E.KD.GD;Brazil;BRA;2018.0;
CO2 emissions (kg per 2010 US$ of GDP);EN.ATM.CO2E.KD.GD;China;CHN;2018.0;
CO2 emissions (kg per 2010 US$ of GDP);EN.ATM.CO2E.KD.GD;India;IND;2018.0;
CO2 emissions (kg per 2010 US$ of GDP);EN.ATM.CO2E.KD.GD;Russian Federation;RUS;2018.0;
CO2 emissions (kg per 2010 US$ of GDP);EN.ATM.CO2E.KD.GD;South Africa;ZAF;2018.0;
CO2 emissions (kg per 2017 PPP $ of GDP);EN.ATM.CO2E.PP.GD.KD;Brazil;BRA;2018.0;
CO2 emissions (kg per 2017 PPP $ of GDP);EN.ATM.CO2E.PP.GD.KD;China;CHN;2018.0;
CO2 emissions (kg per 2017 PPP $ of GDP);EN.ATM.CO2E.PP.GD.KD;India;IND;2018.0;
CO2 emissions (kg per 2017 PPP $ of GDP);EN.ATM.CO2E.PP.GD.KD;Russian Federation;RUS;2018.0;
CO2 emissions (kg per 2017 PPP $ of GDP);EN.ATM.CO2E.PP.GD.KD;South Africa;ZAF;2018.0;
CO2 emissions (kg per PPP $ of GDP);EN.ATM.CO2E.PP.GD;Brazil;BRA;2018.0;
CO2 emissions (kg per PPP $ of GDP);EN.ATM.CO2E.PP.GD;China;CHN;2018.0;
CO2 emissions (kg per PPP $ of GDP);EN.ATM.CO2E.PP.GD;India;IND;2018.0;
CO2 emissions (kg per PPP $ of GDP);EN.ATM.CO2E.PP.GD;Russian Federation;RUS;2018.0;
CO2 emissions (kg per PPP $ of GDP);EN.ATM.CO2E.PP.GD;South Africa;ZAF;2018.0;
CO2 emissions (kt);EN.ATM.CO2E.KT;Brazil;BRA;2018.0;
CO2 emissions (kt);EN.ATM.CO2E.KT;China;CHN;2018.0;
CO2 emissions (kt);EN.ATM.CO2E.KT;India;IND;2018.0;
CO2 emissions (kt);EN.ATM.CO2E.KT;Russian Federation;RUS;2018.0;
CO2 emissions (kt);EN.ATM.CO2E.KT;South Africa;ZAF;2018.0;
CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;Brazil;BRA;2018.0;
CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;China;CHN;2018.0;
CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;India;IND;2018.0;
CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;Russian Federation;RUS;2018.0;
CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;South Africa;ZAF;2018.0;
CO2 emissions from electricity and heat production, total (% of total fuel combustion);EN.CO2.ETOT.ZS;Brazil;BRA;2018.0;
CO2 emissions from electricity and heat production, total (% of total fuel combustion);EN.CO2.ETOT.ZS;China;CHN;2018.0;
CO2 emissions from electricity and heat production, total (% of total fuel combustion);EN.CO2.ETOT.ZS;India;IND;2018.0;
CO2 emissions from electricity and heat production, total (% of total fuel combustion);EN.CO2.ETOT.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from electricity and heat production, total (% of total fuel combustion);EN.CO2.ETOT.ZS;South Africa;ZAF;2018.0;
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;Brazil;BRA;2018.0;
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;China;CHN;2018.0;
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;India;IND;2018.0;
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;South Africa;ZAF;2018.0;
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;Brazil;BRA;2018.0;
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;China;CHN;2018.0;
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;India;IND;2018.0;
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;Russian Federation;RUS;2018.0;
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;South Africa;ZAF;2018.0;
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;Brazil;BRA;2018.0;
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;China;CHN;2018.0;
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;India;IND;2018.0;
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;South Africa;ZAF;2018.0;
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;Brazil;BRA;2018.0;
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;China;CHN;2018.0;
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;India;IND;2018.0;
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;Russian Federation;RUS;2018.0;
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;South Africa;ZAF;2018.0;
CO2 emissions from manufacturing industries and construction (% of total fuel combustion);EN.CO2.MANF.ZS;Brazil;BRA;2018.0;
CO2 emissions from manufacturing industries and construction (% of total fuel combustion);EN.CO2.MANF.ZS;China;CHN;2018.0;
CO2 emissions from manufacturing industries and construction (% of total fuel combustion);EN.CO2.MANF.ZS;India;IND;2018.0;
CO2 emissions from manufacturing industries and construction (% of total fuel combustion);EN.CO2.MANF.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from manufacturing industries and construction (% of total fuel combustion);EN.CO2.MANF.ZS;South Africa;ZAF;2018.0;
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.OTHX.ZS;Brazil;BRA;2018.0;
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.OTHX.ZS;China;CHN;2018.0;
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.OTHX.ZS;India;IND;2018.0;
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.OTHX.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.OTHX.ZS;South Africa;ZAF;2018.0;
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.BLDG.ZS;Brazil;BRA;2018.0;
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.BLDG.ZS;China;CHN;2018.0;
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.BLDG.ZS;India;IND;2018.0;
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.BLDG.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);EN.CO2.BLDG.ZS;South Africa;ZAF;2018.0;
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;Brazil;BRA;2018.0;
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;China;CHN;2018.0;
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;India;IND;2018.0;
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;Russian Federation;RUS;2018.0;
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;South Africa;ZAF;2018.0;
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;Brazil;BRA;2018.0;
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;China;CHN;2018.0;
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;India;IND;2018.0;
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;Russian Federation;RUS;2018.0;
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;South Africa;ZAF;2018.0;
CO2 emissions from transport (% of total fuel combustion);EN.CO2.TRAN.ZS;Brazil;BRA;2018.0;
